SMMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
SMMS-00001,SNT,COR-BRC-ST,ANND,36.29,AXLE_COUNTER,Axle counter reset / replacement,2,4,2026-08-21,2026-09-05,0,113,False,2,78,PENDING
SMMS-00002,SNT,COR-BSL-NGP,AK,128.54,TRACK_CIRCUIT,Track circuit tuning / repair,3,4,2026-08-31,2026-09-15,0,96,True,3,84,PENDING
SMMS-00003,SNT,COR-BSL-NGP,BD,209.02,INTERLOCKING_TEST,Interlocking periodic testing,3,4,2026-08-21,2026-09-05,0,208,True,4,84,PENDING
SMMS-00004,SNT,COR-BSL-NGP,NGP,359.23,TRACK_CIRCUIT,Track circuit tuning / repair,4,3,2026-08-30,2026-09-14,0,140,True,3,84,PENDING
SMMS-00005,SNT,COR-NDLS-CNB,TDL,206.04,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,3,3,2026-08-30,2026-09-06,0,66,False,2,95,PENDING
SMMS-00006,SNT,COR-SBC-JTJ,BWT,65.75,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-08-28,2026-09-04,1,66,False,2,65,IN_PROGRESS
SMMS-00007,SNT,COR-SBC-JTJ,BWT,63.13,CABLE_FAULT,Signalling cable fault rectification,4,1,2026-08-31,2026-09-07,0,118,True,3,65,COMPLETED
SMMS-00008,SNT,COR-NDLS-CNB,ETW,311.58,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-08-26,2026-09-02,3,45,False,2,95,PENDING
SMMS-00009,SNT,COR-BSL-NGP,WR,289.42,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-08-25,2026-09-01,4,58,False,2,84,PENDING
SMMS-00010,SNT,COR-SBC-JTJ,KPN,109.72,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,1,2026-08-14,2026-08-29,7,116,False,2,65,PENDING
SMMS-00011,SNT,COR-BRC-ST,ANND,35.61,AXLE_COUNTER,Axle counter reset / replacement,3,4,2026-08-22,2026-09-06,0,93,False,2,78,PENDING
SMMS-00012,SNT,COR-CNB-DDU,CNB,439.37,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,3,2026-08-14,2026-08-21,15,54,False,2,88,COMPLETED
SMMS-00013,SNT,COR-BSL-NGP,AK,129.9,POINT_MACHINE,Electric point machine overhaul,4,4,2026-09-03,2026-09-10,0,134,True,3,84,IN_PROGRESS
SMMS-00014,SNT,COR-HWH-ASN,ASN,199.63,AXLE_COUNTER,Axle counter reset / replacement,3,5,2026-08-22,2026-09-06,0,98,False,2,92,PENDING
SMMS-00015,SNT,COR-NDLS-CNB,TDL,203.82,POINT_MACHINE,Electric point machine overhaul,4,4,2026-09-05,2026-09-12,0,162,True,3,95,PENDING
SMMS-00016,SNT,COR-BRC-ST,BRC,0.17,POINT_MACHINE,Electric point machine overhaul,4,3,2026-08-27,2026-09-03,2,200,True,3,78,PENDING
SMMS-00017,SNT,COR-NDLS-CNB,TDL,205.69,TRACK_CIRCUIT,Track circuit tuning / repair,2,3,2026-08-31,2026-09-15,0,116,True,3,95,PENDING
SMMS-00018,SNT,COR-HWH-ASN,ASN,199.47,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,4,2026-08-29,2026-09-28,0,94,False,2,92,PENDING
SMMS-00019,SNT,COR-SBC-JTJ,BWT,66.93,POINT_MACHINE,Electric point machine overhaul,4,1,2026-08-25,2026-09-01,4,230,True,3,65,PENDING
SMMS-00020,SNT,COR-HWH-ASN,DGR,158.07,TRACK_CIRCUIT,Track circuit tuning / repair,3,5,2026-09-02,2026-09-17,0,106,True,3,92,PENDING
SMMS-00021,SNT,COR-SBC-JTJ,KPN,110.79,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,5,2,2026-09-04,2026-09-11,0,46,False,2,65,PENDING
SMMS-00022,SNT,COR-HWH-ASN,ASN,199.36,POINT_MACHINE,Electric point machine overhaul,4,5,2026-08-25,2026-09-01,4,209,True,3,92,IN_PROGRESS
SMMS-00023,SNT,COR-BSL-NGP,BD,209.43,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,3,2026-09-02,2026-10-02,0,99,False,2,84,PENDING
SMMS-00024,SNT,COR-BRC-ST,BRC,-1.22,CABLE_FAULT,Signalling cable fault rectification,3,3,2026-09-01,2026-09-08,0,153,True,3,78,COMPLETED
